ARK;"Object name/Title";Author;Date;"Inventory number";Collection;"Geographic references / Places";Location;MNR
cl020624944;"Etude de végétation";"THIER Bernhard Heinrich";;"413 DR/ Recto; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 8, dessiné au recto";
cl020624945;"Etude de végétation";"THIER Bernhard Heinrich";;"414 DR/ Recto; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 9, dessiné au recto";
cl020624946;"Etude de paysage";"THIER Bernhard Heinrich";;"415 DR/ Recto; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 10, dessiné au recto";
cl020624947;"Esquisse sommaire";"THIER Bernhard Heinrich";;"415 DR/ Verso; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 10, dessiné au verso";
cl020624948;"Etude de paysage";"THIER Bernhard Heinrich";;"416 DR/ Recto; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 11, dessiné au recto";
cl020624949;"Etude de végétation";"THIER Bernhard Heinrich";;"416 DR/ Verso; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 11, dessiné au verso";
cl020624950;"Etude de plantes";"THIER Bernhard Heinrich";;"417 DR/ Recto; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 12, dessiné au recto";
cl020624951;"Etude de paysage et de vaches";"THIER Bernhard Heinrich";;"417 DR/ Verso; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 12, dessiné au verso";
cl020624952;"Etude de maisons";"THIER Bernhard Heinrich";;"418 DR/ Recto; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 13, dessiné au recto";
cl020624953;"Etude de paysage";"THIER Bernhard Heinrich";;"419 DR/ Recto; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 14, dessiné au recto";
cl020624954;"Etude de paysage";"THIER Bernhard Heinrich";;"419 DR/ Verso; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 14, dessiné au verso";
cl020624955;"Etude de paysage";"THIER Bernhard Heinrich";;"420 DR/ Recto; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 15, dessiné au recto";
cl020624956;"Etude de vaches";"THIER Bernhard Heinrich";;"420 DR/ Verso; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 15, dessiné au verso";
