ARK;"Object name/Title";Author;Date;"Inventory number";Collection;"Geographic references / Places";Location;MNR
cl010103045;"Montage avec quatre portraits de dignitaires indiens (voir fiches individuelles)";Anonyme;"vers 1680";"TH 277 1";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Place of creation : Inde";"non exposé";
cl010103057;"Tableau : gravure représentant la couronne de Louis XV par Sébastien Antoine";"Antoine, Sébastien";"1700 / 1800  (XVIIIe siècle; XVIIIe siècle)";"SN 321";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";;"non exposé";
cl010103186;"Fac similé du baiser de paix OA 10313, dessin sur papier et cadre";Anonyme;"1800 / 1900  (XIXe siècle)";"OA 10313 BIS";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Place of creation : Italie";"non exposé";
cl010104434;"Gravure peinte du duc de Reichstadt.";"Steinmüller, Joseph ; Ender, Johann";"1800 / 1835  (1er tiers du XIXe siècle)";"MS 312; FA 258";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Place of creation : France";"Paris (France), Musée de l'Armée";
cl010105038;"Gravure de Marie-Louise d'Autriche";"Mécou, André Joseph ; Isabey, Jean-Baptiste";1812;"MS 311";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Place of creation : France";"Paris (France), Musée de l'Armée";
cl010107326;"Dessin d'ornement";"Meissonnier, Juste-Aurèle";"vers 1735";"OA 9487";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";;"non exposé";
cl010108077;"Gravure séditieuse : saule pleureur";;;"SN 534";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";;"non exposé";
cl010109432;"Gravure du Roi de Rome";"Desnoyers, Auguste-Gaspard-Louis ; Gérard, François";1811;"MS 310";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Place of creation : France";"Paris (France), Musée de l'Armée";
cl010109956;"Portrait de Sauvageot gravure";"Henriquel-Dupont Louis-Pierre";1852;"SN 831";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";;"non exposé";
cl010110813;"Dessin fait à la plume par le duc de Reichstadt : lévrier";"Duc de Reichstadt";"avant 1832";"MS 297";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";;"Fontainebleau (France), Musée national du château de Fontainebleau";
cl010110814;"Dessin fait à la plume par le duc de Reichstadt : chêne";"Duc de Reichstadt";"avant 1832";"MS 298";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";;"Fontainebleau (France), Musée national du château de Fontainebleau";
cl010110816;"Dessin fait au crayon par le duc de Reichstadt : un brigand assis";"Duc de Reichstadt";"avant 1832";"MS 300";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";;"Fontainebleau (France), Musée national du château de Fontainebleau";
cl010110817;"Dessin à la sépia par le duc de Reichstadt : trois militaires blessés.";"Duc de Reichstadt";"avant 1832";"MS 301";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";;"Fontainebleau (France), Musée national du château de Fontainebleau";
cl010110819;"Portrait du duc de Reichstadt en capitaine du régiment des chasseurs tyroliens de l'Empereur";"Boyer, Léopold ; Ender, Johann";"1828 / 1832  (1er tiers du XIXe siècle)";"MS 313";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";;"Fontainebleau (France), Musée national du château de Fontainebleau";
cl010111997;"Montage avec quatre portraits de dignitaires indiens (voir fiches individuelles)";Anonyme;"1800 / 1900  (XIXe siècle)";"TH 277 4";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Place of creation : Inde";"non exposé";
cl010111998;"Rouleau: Immortels dans un paysage";Chine;"1800 / 1900  (XIXe siècle)";"TH 283";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Place of creation : Chine";"non exposé";
cl010112028;"Album représentant vingt luohan 罗汉";Chine;"1ère moitié du XIXe siècle";"TH 278";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Place of creation : Asie";"non exposé";
cl010112029;"Album des Quarante vues du Yuanming Yuan";Chine;"1785 / 1815  (Fin du XVIIIe siècle - début du XIXe siècle)";"TH 280; SN 309";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Place of creation : Chine";"non exposé";
cl010112880;"Montage avec quatre portraits de dignitaires indiens (voir fiches individuelles)";Anonyme;"1800 / 1900  (XIXe siècle)";"TH 277 2";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Place of creation : Inde";"non exposé";
cl010114200;"L'officier des eaux, troisième originel (Xiayuan shuiguan tu 下元水官圖)";"Jia Quan 賈全";1771;"TH 285";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Place of creation : Asie orientale = Extrême Orient";"non exposé";
cl010114271;"Petit album de peintures d'exportation: fleurs, oiseaux et insectes";Youqua;"1ère moitié du XIXe siècle";"TH 275";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Place of creation : Chine";"non exposé";
cl010114272;"Rouleau: Sept gentilshommes passent les cols (Qizi duguantu 七子度關圖)";Chine;"XVIIe siècle";"TH 282";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";;"non exposé";
cl010115133;"Carton de tapisserie : coq";"Lurçat, Jean";"vers 1947";"SN 230";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";;"non exposé";
cl010115146;"Tableautin rectangulaire en mosaique : paysage avec ruines";;"1700 / 1900  (XVIIIe-XIXe siècle [?])";"SN 216";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";;"non exposé";
cl010115490;"Montage avec quatre portraits de dignitaires indiens (voir fiches individuelles)";Anonyme;"1800 / 1900  (XIXe siècle)";"TH 277 3";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";"Place of creation : Inde";"non exposé";
cl010116332;"Dessin à la sanguine (tête de femme : Céleste Albaret)";;1956;"OAP 274";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";;"non exposé";
cl010117230;"Rouleau: Sur le fleuve, le jour de la fête de Qingming (Qingming shangue tu 清明上河圖)";"Yao Wenhan 姚文瀚";1768;"TH 284";"Département des Objets d'art du Moyen Age, de la Renaissance et des temps modernes";;"non exposé";
cl010165740;"Stèle de Mesha (estampage)";;"-830 / -805  (IXe s. av. J.-C.)";"AO 5019";"Département des Antiquités orientales";"Place of discovery : Diban";"non exposé";
cl010203794;estampage;;;"AO 30290 20";"Département des Antiquités orientales";"Place of discovery : Dur Sharrukin = Khorsabad";"non exposé";
