ARK;"Object name/Title";Author;Date;"Inventory number";Collection;"Geographic references / Places";Location;MNR
cl020537574;"Jeune seigneur se promenant avec une dame";"BOSSE Abraham";;"3441 DR/ Recto; 7908; vol.1, p.19";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537575;"Bataille de cavalerie";"Courtois, Jacques";;"3462 DR/ Recto; 378; vol.1, p.19";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, grand format";
cl020537576;"Combat de chevalerie";"Courtois, Jacques";;"3463 DR/ Recto; 1233; vol.1, p.20";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537577;"Combat de cavaliers";"Courtois, Jacques";;"3464 DR/ Recto; 2075; vol.1, p.20";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537578;"Flotille à l'entrée d'un port";"GUERARD Nicolas";;"3465 DR/ Recto; 573; vol.1, p.20";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, grand format";
cl020537579;"Fête sur une place publique";"GUERARD Nicolas";;"3466 DR/ Recto; 572; vol.1, p.20";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, grand format";
cl020537580;"Scène d'enchères, dans la halle d'un port";"ANONYME FRANCAIS XVIIè s (fin)";Vers;"3467 DR/ Recto; 574; vol.1, p.20";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, grand format";
cl020537581;"Dame de cour assise tournée vers la droite";"BONNART Robert";;"3468 DR/ Recto; 1054; vol.1, p.20";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537582;"La Sultane";"ANONYME FRANCAIS XVIIè s";;"3469 DR/ Recto; vol.1, p.20";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537583;"Costume de Zéphire pour le ballet du ""Triomphe de l'amour""";"BERAIN Jean I";1681;"3470 DR/ Recto; vol.1, p.20";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537584;"Un Amour pour le ballet du 'Triomphe de l'Amour'";"BERAIN Jean I";"Vers 1681";"3471 DR/ Recto; vol.1, p.20";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537585;"Zéphire tenant un bouquet de fleurs pour le ballet du ""Triomphe de l'Amour""";"BERAIN Jean I";"Vers 1681";"3472 DR/ Recto; vol.1, p.20";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537586;"Thétis dans son char marin pour l'opéra Alceste";"BERAIN Jean I";"Vers 1677/1678";"3473 DR/ Recto; vol.1, p.20";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537587;"Marche de bohémiens";"CALLOT Jacques";;"3474 DR/ Recto; 540; vol.1, p.20";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537588;"Portrait équestre de Charles IV, Duc de Lorraine, devant Nancy";"CALLOT Jacques";1621;"3475 DR/ Recto; 404; vol.1, p.20";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, grand format";
cl020537589;"Un mariage royal";"ANONYME FRANCAIS XVIIè s";;"3476 DR/ Recto; 1229; vol.1, p.20";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537590;"Cavalier en armure";"ANONYME FRANCAIS XVIIè s";;"3477 DR/ Recto; 1230; vol.1, p.20";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537591;"Un port avec des remparts";"Gellée, Claude";;"3478 DR/ Recto; 1234; vol.1, p.20";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537592;"Vue d'une forteresse avec deux guerriers";"ANONYME FRANCAIS XVIIè s";;"3479 DR/ Recto; 1227; vol.1, p.21";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537593;"Portrait équestre de Louis XIII";"MONCORNET Balthazar";;"3480 DR/ Recto; 7906; vol.1, p.21";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537594;"Le jeu de la reine, projet pour un écran à main";"ANONYME FRANCAIS XVIIè s";"Vers 1680";"3481 DR/ Recto; 728; vol.1, p.21";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537595;"Vue de Toulon";"Puget, Pierre";;"3482 DR/ Recto; 794; vol.1, p.21";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537596;"Mariage de Philippe d'Anjou avec l'Infante d'Espagne";"VIVIEN Joseph";;"3483 DR/ Recto; 7907; vol.1, p.21";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537598;"La promenade du roi";"ANONYME FRANCAIS XVIIè s (fin)";;"3490 DR/ Recto; 526; vol.1, p.21";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, grand format";
cl020537599;"Jeune femme debout tenant un panier sous le bras";"Le Clerc, Sébastien";;"3491 DR/ Recto; 1226; vol.1, p.21";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537600;"Scène de théâtre : Arlequinade";"MAROT Daniel";;"3492 DR/ Recto; 828; vol.1, p.21";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, grand format";
cl020537601;"Théagène et Chariclée dans la caverne de l'île des Pâtres";"Dubois, Ambroise";;"3493 DR/ Recto; 110; vol.1, p.21";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537602;"Un palais au bord de l'eau";"ANONYME FRANCAIS XVIIè s";;"3494 DR/ Recto; 1263; vol.1, p.21";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537603;"Troupeau près d'une source";"Velde, Adriaen van de";;"3495 DR/ Recto; 1182; vol.1, p.21";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537604;"Paysage rocheux avec un muletier";"Berchem, Nicolaes Pietersz.";;"3496 DR/ Recto; 1179; vol.1, p.21";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537605;"Les pêcheurs de saumon";"Cuyp, Aelbrecht";;"3497 DR/ Recto; 1180; vol.1, p.21";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537606;"Paysage d'hiver";"Everdingen, Allaert van";;"3498 DR/ Recto; 1181; vol.1, p.21";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537607;Paysage;"Molenaer, Jan Miense";;"3499 DR/ Recto; 1143; vol.1, p.22";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537608;"Auberge au bord de l'eau";"Goyen, Jan van";;"3500 DR/ Recto; 1128; vol.1, p.22";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537609;"Village au bord de l'eau";"Goyen, Jan van";;"3501 DR/ Recto; 1129; vol.1, p.22";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537610;"Chaumière et puits";"Goyen, Jan van";;"3502 DR/ Recto; 1063; vol.1, p.22";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537611;"Le jeu de crosse";"VELDE Jan van de";;"3503 DR/ Recto; 1067; vol.1, p.22";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537612;"Deux boeufs et un berger sur un âne qui passe au gué";"Berchem, Nicolaes Pietersz.";;"3504 DR/ Recto; 1061; vol.1, p.22";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537613;"Le bord de la rivière avec des habitants";"Goyen, Jan van";;"3505 DR/ Recto; 1064; vol.1, p.22";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537614;"Intérieur avec un seigneur versant à boire à une dame";"MIERIS Willem van";;"3506 DR/ Recto; 1066; vol.1, p.22";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537615;"Feuille d'études : Hommes et animaux";"Teniers, David II";;"3507 DR/ Recto; 370; vol.1, p.22";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537616;"Henri IV à cheval";"PAS Crispijn de I";;"3508 DR/ Recto; 789; vol.1, p.22";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537617;"Un Arquebusier";"GHEYN Jacob II de";;"3509 DR/ Recto; 2; vol.1, p.22";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537618;"Une armée en marche";MASSIER;;"3510 DR/ Recto; 1047; vol.1, p.22";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, grand format";
cl020537619;"La Fontaine monumentale";"MOUCHERON Isaac de";;"3511 DR/ Recto; 839; vol.1, p.22";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537620;"Héraut de S.M. le roi d'Angleterre";"Bray, Jan de";;"3512 DR/ Recto; 1094; vol.1, p.22";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537621;"Vue d'un village au bord d'une rivière";"Brueghel, Pieter I";"Vers 1553/1555";"3513 DR/ Recto; 1127; vol.1, p.22";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537622;"Fête dans le port de Venise";"Brueghel, Jan I";;"3514 DR/ Recto; 1125; vol.1, p.22";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537623;"Etude de trois figures";"Brueghel, Pieter I";;"3515 DR/ Recto; 1163; vol.1, p.22";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537624;"Route de campagne et moulins";"Brueghel, Jan I";1611;"3516 DR/ Recto; 1162; vol.1, p.22";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537626;"Paysage coupé par une rivière";"Borssum, Anthonie van";;"3517 DR/ Recto; 1161; vol.1, p.23";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537627;"Habitations rustiques au bord de l'eau";"Neer, Aert van der";;"3518 DR/ Recto; 1166; vol.1, p.23";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537628;"Amusement d'hiver";"Avercamp, Hendrick van";;"3519 DR/ Recto; 1159; vol.1, p.23";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537629;"Vue de Dordrecht";"Cuyp, Aelbrecht";;"3520 DR/ Recto; 1165; vol.1, p.23";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537630;"Moulin dans une plaine";"Cuyp, Aelbrecht";;"3521 DR/ Recto; 1164; vol.1, p.23";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537631;"Rivière aux environs de Dordrecht";"Cuyp, Aelbrecht";;"3522 DR/ Recto; 322; vol.1, p.23";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537632;Etudes;"Van der Meulen, Adam Frans";;"3523 DR/ Recto; 351; vol.1, p.23";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537633;"Un général d'armée et son état major";"Van der Meulen, Adam Frans";;"3524 DR/ Recto; 1105; vol.1, p.23";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537634;"Cour intérieure de palais";"VRIES Paul Vredeman de";;"3525 DR/ Recto; 690; vol.1, p.23";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537635;"Cimon nourri par sa fille";"ANONYME FLAMAND XVIIè s";;"3526 DR/ Recto; 1231; vol.1, p.23";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537636;"Jésus et la Samaritaine";"Rembrandt, Harmensz. van Rijn";;"3527 DR/ Recto; 1260; vol.1, p.23";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537637;"Paysan buvant tourné vers la gauche";"Ostade, Adriaen van";;"3528 DR/ Recto; 1225; vol.1, p.23";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537638;"Paysanne debout tournée vers la droite";"Ostade, Adriaen van";;"3529 DR/ D; 1224; vol.1, p.23";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537639;"Paysan en train de boire entouré de trois autres villageois";"Ostade, Adriaen van";;"3530 DR/ Recto; 1223; vol.1, p.23";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537640;"Exécution de comdamnés";"Ulft, Jacob van der";;"3531 DR/ Recto; 827; vol.1, p.23";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537641;"Vue de la tour Montelboenstoren à Amsterdam";"Hobbema, Meindert";"Vers 1653";"3532 DR/ Recto; 1101; vol.1, p.23";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537642;"Village sur le bord d'une rivière";"Ruisdael, Jacob Isaacksz van";;"3533 DR/ Recto; 1108; vol.1, p.23";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537643;"Composition symbolique et religieuse : La parabole de l'homme riche";"HEEMSKERCK Maerten Jacobsz. van";1560;"3534 DR/ Recto; 1249; vol.1, p.24";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537644;"Vue à Rome";"BISSCHOP Cornelis";;"3535 DR/ Recto; 1093; vol.1, p.24";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537645;"Large rivière traversée par un bac";"Goyen, Jan van";;"3536 DR/ Recto; vol.1, p.24";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537646;"Vue d'une large rivière";"Goyen, Jan van";;"3537 DR/ Recto; 1097; vol.1, p.24";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537647;Marine;"Goyen, Jan van";;"3538 DR/ Recto; 1057; vol.1, p.24";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537648;"Village au bord de l'eau";"Goyen, Jan van";;"3539 DR/ Recto; 1039; vol.1, p.24";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537649;"Paysage avec homme et femme en conversation";"Goyen, Jan van";;"3540 DR/ Recto; 1099; vol.1, p.24";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537650;"Départ à Scheveningue";"Goyen, Jan van";;"3541 DR/ Recto; 1096; vol.1, p.24";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537651;"Vieillard debout tenant un poignard";"Bol, Ferdinand";;"3542 DR/ Recto; 1243; vol.1, p.24";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537652;"La Vierge et l'enfant Jésus avec une Sainte";"MATHAM Jacob";;"3543 DR/ Recto; 1270; vol.1, p.24";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537653;"Ange tenant une palme";"MATHAM Jacob";1601;"3544 DR/ Recto; 1241; vol.1, p.24";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537654;"Composition allégorique";"Aelst, Willem van";;"3545 DR/ Recto; 1254/3; vol.1, p.24";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537655;"Composition allégorique";"Aelst, Willem van";;"3546 DR/ Recto; 1254/3; vol.1, p.24";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537656;"Composition allégorique";"Aelst, Willem van";;"3547 DR/ Recto; 1254/3; vol.1, p.24";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537657;"Ile de Bicker";"Storck, Abraham";;"3548 DR/ Recto; 787; vol.1, p.24";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537658;"Vue de l'Amstel à Amsterdam";"STORCK J.";;"3549 DR/ Recto; 784; vol.1, p.24";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537659;"Le nouveau pont avec le palais construit en 1560";"STORCK J.";;"3550 DR/ Recto; 788; vol.1, p.24";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537660;Marine;"Storck, Abraham";;"3551 DR/ Recto; 753; vol.1, p.24";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537662;"Calme plat";"Velde Willem, Van de (Le jeune)";;"3552 DR/ Recto; 1167; vol.1, p.24";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537663;"Bateaux à voiles dans un port";"Velde Willem, Van de (Le jeune)";;"3553 DR/ Recto; 848; vol.1, p.25";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537664;Marine;"Velde Willem, Van de (Le jeune)";;"3554 DR/ Recto; 327; vol.1, p.25";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537665;Marine;"Velde Willem, Van de (Le jeune)";;"3555 DR/ Recto; 754; vol.1, p.25";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537666;"Barque à voile";"Velde Willem, Van de (Le jeune)";;"3556 DR/ Recto; 1153; vol.1, p.25";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537667;"Mer calme";"Velde Willem, Van de (Le jeune)";;"3557 DR/ Recto; 1081; vol.1, p.25";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537668;"Calme plat";"Velde Willem, Van de (Le jeune)";;"3558 DR/ Recto; 1069; vol.1, p.25";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537669;"Vaisseaux mouillés dans une baie";"Velde Willem, Van de (Le jeune)";;"3559 DR/ Recto; 1068; vol.1, p.25";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537670;"Calme plat";"Velde Willem, Van de (Le jeune)";;"3560 DR/ Recto; 1112; vol.1, p.25";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537671;"Calme plat";"Velde Willem, Van de (Le jeune)";;"3561 DR/ Recto; 1131; vol.1, p.25";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537672;"Bataille navale";"Velde Willem, Van de (Le jeune)";;"3562 DR/ Recto; 336; vol.1, p.25";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537673;"Frégate attaquée par des pirates";"Verwer, Abraham de";;"3563 DR/ Recto; 1070; vol.1, p.25";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537674;"Vue de la rade de Flissingen";"Verwer, Abraham de";;"3564 DR/ Recto; 1071; vol.1, p.25";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537675;"Vue d'une baie où est ancré un trois-mats";"Verwer, Abraham de";;"3565 DR/ Recto; 1168; vol.1, p.25";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537676;"Mer calme";"VLIEGER Simon de";;"3566 DR/ Recto; 755; vol.1, p.25";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537677;"Vente de poissons sur la plage";"VLIEGER Simon de";;"3567 DR/ Recto; 1072; vol.1, p.25";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537678;"Large rivière";"Nooms, Reinier";;"3568 DR/ Recto; 1169; vol.1, p.25";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537679;"Grand vaisseau de guerre en construction";"Nooms, Reinier";;"3569 DR/ Recto; 1116; vol.1, p.25";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537680;Marine;"Nooms, Reinier";;"3570 DR/ Recto; 758; vol.1, p.25";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537681;Marine;"Nooms, Reinier";;"3571 DR/ Recto; 770; vol.1, p.26";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537682;"Deux vaisseaux armés sur une mer calme";"Nooms, Reinier";;"3572 DR/ Recto; 1073; vol.1, p.26";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537683;"L'Y devant Amsterdam";"Backhuysen, Ludolf";;"3573 DR/ Recto; 789; vol.1, p.26";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537684;"Grand vaisseau et embarcation sur une mer mouvementée";"Backhuysen, Ludolf";;"3574 DR/ Recto; 1090; vol.1, p.26";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537685;"Grand navire anglais sur une rivière";"Backhuysen, Ludolf";;"3575 DR/ Recto; 1160; vol.1, p.26";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537686;"Marine, gros temps";"RIETSCHOOF Jan Claes";;"3576 DR/ Recto; 833; vol.1, p.26";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537687;"Marine, au premier plan à gauche deux hommes debout et femme assise";"RIETSCHOOF Jan Claes";;"3577 DR/ Recto; 834; vol.1, p.26";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537688;"Bateaux sur une mer calme, au premier plan, un homme portant un panier";"COOPSE Pieter";;"3578 DR/ Recto; 812; vol.1, p.26";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537689;"Marine avec nombreux personnages sur le quai du port";"BOL Hans";;"3579 DR/ Recto; 837; vol.1, p.26";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537690;"Paysage avec une rivière";"AKEN Jan van";;"3580 DR/ Recto; 1080; vol.1, p.26";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537691;"Le Départ";"Venne, Adriaen Pietersz. van de";;"3581 DR/ Recto; 1132; vol.1, p.26";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537692;"Bateau de pêcheurs au port";"ERKELENS Anthonie";;"3582 DR/ Recto; 813; vol.1, p.26";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537693;"Marine, au premier plan trois hommes sur un bateau";"VITRINGA Wigerus";;"3583 DR/ Recto; 769; vol.1, p.26";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537694;"Mer calme, huit pêcheurs dans deux barques retirant leurs filets";"MULIER Pieter le Jeune";;"3584 DR/ Recto; 835; vol.1, p.26";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537695;"Dessin d'un porte-cierge de confrérie";"Vittoria, Alessandro";;"3585 DR/ Recto; 387; vol.1, p.26";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537696;"Vue de Constantinople";"LUYKEN Jan";;"3586 DR/ Recto; 599; vol.1, p.26";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, grand format";
cl020537697;"Eventail avec portraits et figures allégoriques";"Le Brun, Charles";;"3587 DR/ Recto; 255; vol.1, p.27";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, grand format";
cl020537698;Plafond;"Le Clerc, Sébastien";;"3588 DR/ Recto; vol.1, p.27";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537699;Plafond;"Le Clerc, Sébastien";;"3589 DR/ Recto; vol.1, p.27";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537700;"Portrait de Marie-Antoinette reine de France, conduite au supplice";"David, Jacques-Louis";1793;"3599 DR/1 Recto; 871; vol.1, p.27";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537701;"Charge de Mirabeau l'aîné";"David, Jacques-Louis";;"3600 DR/ Recto; 872; vol.1, p.27";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537702;"Charge de Mirabeau-Tonneau";"David, Jacques-Louis";;"3601 DR/ Recto; 873; vol.1, p.27";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537703;"Portrait de l'artiste, directeur des Ecoles gratuites de dessin";"Bachelier, Jean Jacques";;"3602 DR/ Recto; 861; vol.1, p.27";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537704;"Premier repas de Louis XVI et de sa famille dans sa prison du Temple";"ANONYME FRANCAIS XVIIIè s";1792;"3603 DR/1 Recto; 928; vol.1, p.27";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537705;"Jean-Jacques Rousseau";"ANONYME FRANCAIS XVIIIè s";1778;"3604 DR/ Recto; 981; vol.1, p.27";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537706;"Voltaire dessiné à Paris lorsqu'il se releva un moment de sa maladie";"ANONYME FRANCAIS XVIIIè s";;"3605 DR/ Recto; 984; vol.1, p.27";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537707;"Le Temps détruisant les monuments de la tyrannie";"Monnet, Charles";;"3606 DR/ Recto; 936; vol.1, p.27";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537708;"Baiser de paix dans l'Assemblée Nationale (7juillet 1792), dit le baiser Lamourette";"ANONYME FRANCAIS XVIIIè s";;"3607 DR/1 Recto; 995; vol.1, p.27";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537710;"Les prisonniers d'Orléans massacrés à Versailles";"ANONYME FRANCAIS XVIIIè s";;"3610 DR/1 Recto; 988; vol.1, p.27";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537711;"Mille deux cents lyonnais jetés dans les caves de l'Hôtel de ville";"ANONYME FRANCAIS XVIIIè s";;"3611 DR/1 Recto; 987; vol.1, p.27";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537712;"Louis XVI à la barre de la Convention est interrogé par Barrère";"ANONYME FRANCAIS XVIIIè s";;"3612 DR/1 Recto; 930; vol.1, p.27";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537714;"L'Accouchement de la Constitution";"ANONYME FRANCAIS XVIIIè s";;"3616 DR/ Recto; 850; vol.1, p.28";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537715;"Charlotte Corday remet son placet à Marat";"ANONYME FRANCAIS XVIIIè s";;"3617 DR/ Recto; 854; vol.1, p.28";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537716;"Assassinat de Marat par Charlotte Corday";"ANONYME FRANCAIS XVIIIè s";;"3618 DR/ Recto; 855; vol.1, p.28";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, grand format";
cl020537717;"Alexandre Lenoir défendant les monuments contre la fureur des Terroristes";"ANONYME FRANCAIS XVIIIè s";;"3619 DR/ Recto; 856; vol.1, p.28";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537718;"La Fayette délivré par les soins du Général Bonaparte";"ANONYME FRANCAIS XVIIIè s";;"3620 DR/ Recto; 857; vol.1, p.28";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537719;"Les rats de cave";"ANONYME FRANCAIS XVIIIè s";;"3621 DR/ Recto; 859; vol.1, p.28";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537720;"Mort tragique des frères Pilatre de Rozier, au dessus de leurs portraits en médaillon";"ANONYME FRANCAIS XVIIIè s";;"3622 DR/ Recto; 862; vol.1, p.28";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537721;"Antoine Ratabon, surintendant des bâtiments du roi";"BRIARD Gabriel";;"3623 DR/ Recto; 865; vol.1, p.28";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
cl020537722;"Le Dauphin se promenant dans le jardin des Tuileries";"DESRAIS Claude-Louis";"Vers 1790/1791";"3624 DR/ Recto; 895; vol.1, p.28";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, petit format";
